sessionID,seriesID,Latitude,Longitude,Manual Cluster
6,165,31.44658367,31.655348,0
6,166,31.44663183,31.6555765,0
6,167,31.44668033,31.6558045,0
6,168,31.44673,31.65603333,0
6,169,31.44678033,31.6562625,0
6,170,31.44683217,31.65649183,0
6,171,31.44688567,31.656721,0
6,172,31.44693867,31.656947,0
6,173,31.44699317,31.65717433,0
6,174,31.44704833,31.65740067,0
6,175,31.447103,31.6576255,0
6,176,31.44715683,31.65784967,0
6,177,31.44720967,31.6580735,0
6,178,31.44726133,31.65829783,0
6,179,31.44731183,31.6585225,0
6,180,31.44736017,31.65874217,0
6,181,31.44740533,31.658959,0
6,182,31.44745,31.65917567,0
6,183,31.44749683,31.65939567,0
6,184,31.4475445,31.65962083,0
6,185,31.44759317,31.65984783,0
6,185.1,31.4476435,31.66007917,0
6,186,31.447695,31.66031383,0
6,187,31.44774733,31.66055217,0
6,188,31.44780017,31.66079083,0
6,189,31.44785383,31.66103417,0
6,190,31.4479085,31.6612825,0
6,191,31.447962,31.66153167,0
6,191.1,31.44801433,31.66177967,0
6,191.2,31.44806517,31.66202533,0
6,192,31.44811567,31.66226867,0
6,193,31.44816583,31.66251,0
6,194,31.448215,31.66274867,0
6,195,31.44826567,31.6629845,0
6,196,31.448316,31.66321383,0
6,197,31.4483665,31.6634405,0
6,198,31.44841383,31.663665,0
6,199,31.44845583,31.663887,0
6,200,31.44849533,31.66410567,0
6,201,31.4485325,31.664319,0
6,202,31.44856917,31.66452567,0
6,203,31.44860417,31.66472733,0
6,204,31.4486395,31.66492183,0
6,205,31.44867583,31.6651115,0
6,206,31.448715,31.66529583,0
6,207,31.44875283,31.66547267,0
6,208,31.44878833,31.66564183,0
6,209,31.44882283,31.66580517,0
6,210,31.44885567,31.665963,0
6,211,31.44888783,31.66611567,0
6,212,31.448921,31.6662645,0
6,213,31.448954,31.66640817,0
6,214,31.448987,31.6665485,0
6,215,31.44901917,31.666684,0
6,216,31.44904867,31.666813,0
6,217,31.44907767,31.66693767,0
6,218,31.44910583,31.66705883,0
6,219,31.44913317,31.66717267,0
6,220,31.449158,31.66727833,0
6,221,31.44918067,31.66737817,0
6,222,31.44920333,31.66747517,0
6,223,31.4492255,31.66757233,0
6,224,31.44924667,31.66766667,0
6,225,31.4492665,31.66775567,0
6,226,31.44928683,31.66784917,0
6,227,31.449308,31.667946,0
6,228,31.44932883,31.66804183,0
6,229,31.44934867,31.66813417,0
6,230,31.4493685,31.668225,0
6,231,31.449387,31.66831283,0
6,232,31.44940517,31.6683965,0
6,233,31.4494225,31.66847583,0
6,234,31.44943833,31.66855683,0
6,235,31.449455,31.66863933,0
6,236,31.44947367,31.668723,0
6,237,31.44949317,31.668809,0
6,238,31.4495145,31.66890133,0
6,239,31.44953633,31.66899633,0
6,240,31.44955883,31.6690945,0
6,240.1,31.44958317,31.669193,0
6,241,31.44960817,31.66929383,0
6,241.1,31.44963217,31.66939683,0
6,242,31.44965467,31.66949383,0
6,243,31.44967933,31.66959917,0
6,244,31.44970417,31.66970317,0
6,245,31.44972867,31.6698085,0
6,246,31.44975183,31.66991517,0
6,247,31.449773,31.6700165,0
6,248,31.4497925,31.6701185,0
6,249,31.44981267,31.67022067,0
6,250,31.449834,31.67032233,0
